screen_name,status_text,status_created_at
NBC5photog, mention GraceWhiteKHOU mention nbc Me too!,Thu Feb 08 04:06:28 +0000 2018
EmilyRussellAK,RT mention NPRrussell: Everyone Has Anxiety Dreams. Olympic Athletes Have Olympic-Size Ones https.co/ZqbA1te,Thu Feb 08 04:05:18 +0000 2018
NPRrussell,Everyone Has Anxiety Dreams. Olympic Athletes Have Olympic-Size Ones https.co/ZqbA1te,Thu Feb 08 04:04:44 +0000 2018
TVPhotog213,Getting ready for our 11pm liveshot in South Korea(its 1pm here local) where we talk about security at the games. https.co/uoJP4OcJvd,Thu Feb 08 04:02:22 +0000 2018
OlympicsPFGC,<e2><80><9c>Let the Olympic Flame shine as a beacon to human solidarity. Let the Olympic Truce help spread a culture of peace<e2><80><9d><e2><80><a6> https.co/LroSJYMKTz,Thu Feb 08 04:00:21 +0000 2018
heathleemc,The mention pyeongchang2018 volunteers have also been super friendly and welcoming! https.co/KD5MoWbro8,Thu Feb 08 04:00:08 +0000 2018
heathleemc,Settled in nicely here at the games! Feeling the red heart <ef><b8><8f> from Canada &amp; my friends and family back home in Winnipeg &amp; YYC<e2><80><a6> https.co/i2Q6kNdrXl,Thu Feb 08 03:59:10 +0000 2018
TSNScianitti, mention CEdwardsTSN Get back to work <f0><9f><a4><a3><f0><9f><a4><a3><f0><9f><a4><a3>,Thu Feb 08 03:56:29 +0000 2018
IvanBabikov,"Olympic Games are crazy...sometimes, if you are really lucky, you can even meet a NFL player.<e2><80><a6> https.co/6Ow7hZKpTL",Thu Feb 08 03:56:26 +0000 2018
YSportsEvan,"A sneak peek at what<e2><80><99>s to come on mention yahoosports: my 1-on-1 chat with mention shaunwhite, getting ready<e2><80><a6> https.co/GNQSvcYsV8",Thu Feb 08 03:55:14 +0000 2018
CoyWire,"She is just the 6th female to carry the flag for mention TeamUsa at a Winter Olympic Games. She is 4x Olympian,<e2><80><a6> https.co/90dsVQKISj",Thu Feb 08 03:53:51 +0000 2018
MarkConnollyCBC,I<e2><80><99>m thinking of going back to that hairstyle. https.co/GEZa1NUJD0,Thu Feb 08 03:51:57 +0000 2018
worldcurling,What did Korea say after their first ever Olympic win? #PyeongChang2018 https.co/LY4YwfaVdG,Thu Feb 08 03:51:20 +0000 2018
maggie_voisin,Team Processing heavy check mark <ef><b8><8f> Styled out with the girl gang thanks to mention poloralphlauren! #ClosingCeremoniesOutfit https.co/90rCZYn4Dh,Thu Feb 08 03:45:39 +0000 2018
