screen_name,status_text,status_created_at
haIsIay,RT @MnetMcountdown: 팬 여러분 향한 사랑 넘치는 #JBJ~의 셀카! 여러분 보고 싶었어요 잘 있었죠? #용국 #상균 군은 오늘 저녁 6시 생방송 열 준비 중이에요! #엠카운트다운 최초공개 무대를 보러 오는 여러분은 정말 #꽃이야!!…,Thu Feb 08 18:11:25 +0000 2018
brakio1,"@iHeartRadio 남주나...
JIN RJ 
#BTSARMY #BestFanArmy #iHeartAwards @BTS_twt https://t.co/4ZLajLlp4a",Fri Feb 09 16:05:56 +0000 2018
kryztalj,Masih limit?,Fri Feb 09 04:50:39 +0000 2018
Blossom_Appy,@lovediring_ 에디님이티알을?(ㅇㅣㄹ어남,Thu Feb 08 11:14:31 +0000 2018
elzIullNRIIRZA6,@Midnight_candle 아..아아아88 야근쥬겨오!!!!,Sat Feb 10 08:34:25 +0000 2018
yoongidude,@BTS_twt Long time no see!~,Fri Feb 09 08:58:46 +0000 2018
mihyunw,"@ERPETLS &lt; ga ngikutin W1 , jadi bingung. Tapi suka Minhyun,  itu pun karena dia member NUEST makanya kenal duluan 😹 &gt;",Fri Feb 09 03:01:08 +0000 2018
jimin__DANIEL,"RT @myeong_0911: 🌷친해지고싶어서 소소하게 올려봅니다🌷

가나랑 랜봉이랑 투비원앨범 나눔할게요!
RT만 해주세요 (팔로우는 자유 일회성❌)😊 혹시 헬로마켓다운받으실수 있는분들은 추천인B3W9F 해주세요🙏
많약 추천인 55분넘으면 너블봉이…",Sat Feb 10 06:08:31 +0000 2018
HeaeJung,@AceRavi 👍👍👍👍👍👍,Sat Feb 10 14:04:01 +0000 2018
uuruec,RT @spirit_gom: 미친 새끼들앜 ㅋㄲㅋㅋㅋ https://t.co/d9TJTDEXHW,Sat Feb 10 08:30:22 +0000 2018
mnmnmvw,"RT @KOONSwk: ตลก มีคนบอกว่า เจออันนี้ที่ป้ายรถบัส 55555
ในป้ายรูปอง เขียนไว้ว่า “เคยเห็นคนๆนีกันมั้ยคะ? เพราะว่าเค้าน่ารักมากเลยค่ะ!!!! นี่…",Sat Feb 10 14:20:54 +0000 2018
roujearne,https://t.co/zrbueVDnjE,Fri Feb 09 03:51:25 +0000 2018
_0613_gj,"RT @ONLY_MOMNET_V: 이 남자.....
얍 이란 단어를 좋아하나봄...
ㄱㅇㅇ....👊🏻👊🏻

 #iHeartAwards #BestFanArmy #BTSARMY @BTS_twt https://t.co/xvbiFE9AqT",Sat Feb 10 14:14:55 +0000 2018
terato_gen,"RT @PRESSIAN_news: 전두환 당시 보안사령관은 지금 어떤 생각을 하고 있을까요? 여전히 ""왜 나만 갖고 그래""라는 태도일까요? #광주민주화운동 #국방부  https://t.co/oFb3xOfRby",Fri Feb 09 02:24:13 +0000 2018
plumeryia,@pluviophaile |[ Telat ga nge-iyain ini? Baru sadar 😂,Sat Feb 10 02:27:17 +0000 2018
exohsehvn_,"RT @innocence_sh: #SEHUN #세훈

180209  ICN

😊😊😊

#iHeartAwards #BestFanArmy #EXOL @weareoneEXO https://t.co/zsJSpUotsC",Fri Feb 09 06:28:56 +0000 2018
_H0__0,RT @callmeRang: &lt;새들의 천재성&gt; 최고입니다..! 새 너무 근사하게 진화했네요! 동네 새들이 정말 다 천재로 보이는 책.. 까치 출판사는 이름에 걸맞는 책을 내셨군요! https://t.co/NcdMKN9xg8,Fri Feb 09 04:09:40 +0000 2018
V_dang__1230,"RT @jingae0122: #아미트친소 #아미트친소_무멘맞괄 

마 음 은 뎀 가 요 🦅

탐 라 에 푸 린 이 를 심 어 보 세 요

트 친 님 들 인 용 해 주 세 요 🙇‍♀️ https://t.co/dOTQXlniCm",Fri Feb 09 12:36:50 +0000 2018
pin_or_pin,RT @como3535: 개회식때 장구 태극 변신 https://t.co/r6pXzr5x5N,Fri Feb 09 13:29:38 +0000 2018
Red06132,"RT @howinjjang: 즐기는 자를 이길수 없다....❤❤❤

이제 날씨가 점점 풀리고있네요~

오늘도 즐거운 하루 되세욥 😀 https://t.co/Z34UQqVpFZ",Fri Feb 09 00:02:32 +0000 2018
120430_cha,"RT @sssssssuuuuuna: 이즈마코!!
첨이라 어색한데.. 열심히 만들었어요!/// https://t.co/QwJT6FCFFg",Fri Feb 09 13:44:45 +0000 2018
caratspirit,RT @iniq0428: 180210 울산광화문연가 성규 퇴근 :: 안녕안녕안녕~~~😍😍😍😍 https://t.co/nnAodsMn5d,Sat Feb 10 11:16:06 +0000 2018
baekhyune07,"RT @shut_up_antis: @ChanBaek_Meme thanks for the info dear

#EXOL #BestFanArmy #iHeartAwards @weareoneEXO 

take care and have a good day..…",Fri Feb 09 15:01:52 +0000 2018
Yayangminho,@vousmelire Ig buat ajang ngiler video2 makanan sama mukbang asique,Sat Feb 10 13:44:27 +0000 2018
sengho1014,@pinkhole69 갈까말까 하다가 안갔는데 갈걸 그랬네요,Sat Feb 10 11:06:45 +0000 2018
ANNE_POP_,RT @macrostar: 인면조 1위~ https://t.co/6qfQk7FnSw https://t.co/bBz1TOak3K,Fri Feb 09 12:23:36 +0000 2018
echa_varnuts,ang daling uminit ng ulo ko ngayon,Sat Feb 10 10:13:12 +0000 2018
Yulita501_,"RT @FavaRustam: Me and @hoya1991 laughing and teasing each other 😂
He spoke to taiwanese fan and he replied ""Really?"" cutely. I laughed and…",Fri Feb 09 14:10:41 +0000 2018
SOTTObaabo,"RT @insight_co_kr: 가볍게 '세계 랭킹 12위' 먹음 ㅋㅋㅋㅋ
https://t.co/lj8Hu8uSdN",Fri Feb 09 13:48:28 +0000 2018
